Date,Raw_Material_Usage_(kg),Production_Volume,Production_Efficiency_(%),Recycling_Efforts_(%),Packaging_Material_Usage_(kg),Energy_Consumption_(kWh),Transportation_Waste_(kg),End_of_Life_Waste_(kg),Sell_In_Quantity,Sell_Out_Quantity,Inflation_Rate,Disposable_Income,Sell_Out_to_Sell_In_Ratio,Profit
2/6/1960,370,1188,88.66281929,31.23919316,64,47748,100,363,481.818567,175.2067517,0.029635347,67183,0.36,277.7777778
2/7/1960,698,3337,89.84100373,32.23700349,187,24842,29,282,219.0084396,158.9839043,0.029635347,67183,0.73,136.9863014
2/8/1960,819,1815,84.57764814,19.25890017,177,20643,73,134,288.7666833,194.6741685,0.029635347,67183,0.67,149.2537313
2/9/1960,133,3170,71.15628577,21.42301892,175,19063,23,933,199.5410227,90.8479453,0.029635347,67183,0.46,217.3913043
2/10/1960,229,1093,83.32089046,29.46147296,74,39416,51,934,340.6797949,253.0764191,0.029635347,67183,0.74,135.1351351
2/11/1960,117,1020,73.49762935,31.85958926,101,35474,82,622,405.5711844,400.7043302,0.029635347,67183,0.99,101.010101
2/12/1960,300,1675,78.14691398,28.53241369,79,40950,57,723,501.2859839,361.7694965,0.029635347,67183,0.72,138.8888889
2/13/1960,432,3546,76.6922998,42.658502,166,20635,43,851,463.9734349,248.2095648,0.029635347,67183,0.53,188.6792453
2/14/1960,907,3965,91.84291443,13.8003433,82,11736,38,673,248.2095648,53.53539634,0.029635347,67183,0.22,454.5454545
2/15/1960,801,2925,80.6507418,40.45536007,75,11277,91,982,447.7505876,324.4569475,0.029635347,67183,0.72,138.8888889
2/16/1960,285,4064,77.27993327,28.15529074,83,29014,77,887,468.8402891,460.7288655,0.029635347,67183,0.98,102.0408163
2/17/1960,314,4149,77.41075027,16.40231707,86,45243,83,486,298.5003917,137.8942027,0.029635347,67183,0.46,217.3913043
2/18/1960,507,1046,70.39282337,10.38557069,125,25377,84,844,442.8837333,235.2312869,0.029635347,67183,0.53,188.6792453
2/19/1960,233,1115,79.67609036,25.60610299,102,36144,39,576,481.818567,107.0707927,0.029635347,67183,0.22,454.5454545
2/20/1960,955,1627,85.11609573,14.72499371,103,30108,32,258,358.524927,225.4975785,0.029635347,67183,0.63,158.7301587
2/21/1960,785,2357,87.15595301,16.61521781,121,27833,10,390,457.484296,334.1906559,0.029635347,67183,0.73,136.9863014
2/22/1960,239,1273,82.28534155,39.44666053,154,35367,38,895,452.6174418,69.75824371,0.029635347,67183,0.15,666.6666667
2/23/1960,758,3997,71.63121968,38.88725881,58,37402,76,404,519.131116,58.40225055,0.029635347,67183,0.11,909.0909091
2/24/1960,507,4835,82.59478488,24.30469255,198,39327,52,143,584.0225055,473.7071434,0.029635347,67183,0.81,123.4567901
2/25/1960,714,1994,93.3670116,11.30991752,101,45395,73,763,478.5739976,317.9678086,0.029635347,67183,0.66,151.5151515
2/26/1960,106,3799,92.02538752,17.4520288,140,49365,17,809,321.212378,283.8998291,0.029635347,67183,0.88,113.6363636
2/27/1960,644,2279,83.67850019,27.45553264,72,46783,45,819,439.6391639,240.0981412,0.029635347,67183,0.55,181.8181818
2/28/1960,945,2427,80.38173653,12.63779181,126,37188,11,1000,478.5739976,420.171747,0.029635347,67183,0.88,113.6363636
2/29/1960,433,3445,76.92330368,23.87609726,81,16517,56,537,475.3294281,228.742148,0.029635347,67183,0.48,208.3333333
3/1/1960,694,1838,82.57163486,11.95956172,59,43672,31,947,349.5789002,239.793791,0.021061717,47562,0.69,144.9275362
3/2/1960,182,4863,87.0317339,25.00694714,147,49514,13,720,158.8995001,117.0078137,0.021061717,47562,0.74,135.1351351
3/3/1960,949,1174,71.55416126,37.74162924,121,30717,100,889,300.4645093,294.6863456,0.021061717,47562,0.98,102.0408163
3/4/1960,697,3806,74.84030859,11.1949308,106,15619,46,576,264.3509865,195.0130228,0.021061717,47562,0.74,135.1351351
3/5/1960,674,4467,93.4727664,41.43510563,54,43693,89,834,401.5823729,59.22617731,0.021061717,47562,0.15,666.6666667
3/6/1960,178,4286,81.81877195,39.74341483,135,28083,38,271,241.238332,177.6785319,0.021061717,47562,0.74,135.1351351
3/7/1960,659,4406,93.97124428,36.78485411,158,29141,40,478,287.4636411,248.4610365,0.021061717,47562,0.86,116.2790698
3/8/1960,424,4120,91.40413583,45.8525641,109,49660,52,985,310.5762956,209.4584319,0.021061717,47562,0.67,149.2537313
3/9/1960,158,4892,83.79603497,40.13461567,66,23064,17,125,236.9047092,140.1204683,0.021061717,47562,0.59,169.4915254
3/10/1960,658,2221,77.55802102,11.73463032,85,38525,95,614,339.4671138,134.3423046,0.021061717,47562,0.4,250
3/11/1960,439,3396,87.81037103,39.82588669,163,17376,69,668,232.5710865,186.3457774,0.021061717,47562,0.8,125
3/12/1960,165,2460,92.28708267,30.66968917,66,38140,14,965,329.3553275,96.78424096,0.021061717,47562,0.29,344.8275862
3/13/1960,188,2704,88.90402982,35.02542457,117,19451,29,991,345.2452775,210.9029728,0.021061717,47562,0.61,163.9344262
3/14/1960,311,4395,76.48328698,15.75623196,97,39950,79,996,390.0260457,150.2322546,0.021061717,47562,0.39,256.4102564
3/15/1960,779,4954,77.79721555,38.58526649,118,49323,15,477,403.0269139,377.0251775,0.021061717,47562,0.94,106.3829787
3/16/1960,436,1289,71.73709181,38.88562055,152,30807,88,211,333.6889502,46.22530912,0.021061717,47562,0.14,714.2857143
3/17/1960,199,4556,73.63848791,16.10644113,105,32659,60,468,307.6872138,167.5667455,0.021061717,47562,0.54,185.1851852
3/18/1960,136,2439,89.71515026,28.61494975,67,28657,49,183,427.5841093,346.6898184,0.021061717,47562,0.81,123.4567901
3/19/1960,346,4130,84.5698025,16.86790947,172,17782,31,131,320.688082,278.7963956,0.021061717,47562,0.87,114.9425287
3/20/1960,827,4340,78.99139941,28.79422911,50,26499,70,576,417.472323,63.55980004,0.021061717,47562,0.15,666.6666667
3/21/1960,409,1076,79.24836611,12.70781386,52,40271,74,863,355.3570638,232.5710865,0.021061717,47562,0.65,153.8461538
3/22/1960,632,2965,83.61231397,48.11644009,127,33393,87,626,403.0269139,182.0121546,0.021061717,47562,0.45,222.2222222
3/23/1960,867,2954,88.59160972,26.75572286,187,10729,77,307,416.027782,251.3501183,0.021061717,47562,0.6,166.6666667
3/24/1960,214,3981,83.68199362,47.19519721,56,24527,58,123,301.9090502,67.89342276,0.021061717,47562,0.22,454.5454545
3/25/1960,439,2737,87.62880412,21.77079675,67,19142,64,140,416.027782,241.238332,0.021061717,47562,0.58,172.4137931
3/26/1960,299,4837,85.53911261,13.86190519,119,26586,19,545,368.357932,260.0173638,0.021061717,47562,0.71,140.8450704
3/27/1960,993,2447,70.60263899,33.6680994,113,30842,98,253,385.6924229,277.3518547,0.021061717,47562,0.72,138.8888889
3/28/1960,469,3136,77.42809709,35.00844306,61,38210,81,908,391.4705866,213.7920547,0.021061717,47562,0.55,181.8181818
3/29/1960,826,1377,74.70038083,13.55760843,173,33779,82,752,395.8042093,375.5806366,0.021061717,47562,0.95,105.2631579
3/30/1960,948,1806,71.14436616,19.61184811,86,23349,18,972,401.5823729,218.1256774,0.021061717,47562,0.54,185.1851852
3/31/1960,152,2137,75.17989373,27.22205997,170,41660,28,132,349.5789002,261.4619047,0.021061717,47562,0.75,133.3333333
4/1/1960,224,3521,78.38098309,42.25054796,180,33268,60,669,219.9216061,186.3457884,0.038895029,74673,0.85,117.6470588
4/2/1960,987,2009,73.31394487,35.6870342,196,38093,40,756,355.9036679,251.818633,0.038895029,74673,0.71,140.8450704
4/3/1960,294,1192,78.52179061,32.0270874,189,13466,42,544,213.2064426,186.3457884,0.038895029,74673,0.87,114.9425287
4/4/1960,552,2788,77.65314905,16.13227182,86,26700,18,872,481.8129844,362.6188315,0.038895029,74673,0.75,133.3333333
4/5/1960,838,1176,74.99910096,35.31201266,167,24550,55,924,350.8672953,277.0004963,0.038895029,74673,0.79,126.5822785
4/6/1960,520,4985,92.37704763,29.44397117,192,47004,54,811,256.8550056,161.1639251,0.038895029,74673,0.63,158.7301587
4/7/1960,831,4366,83.34886539,27.32312968,163,33750,99,753,352.5460861,110.8001985,0.038895029,74673,0.31,322.5806452
4/8/1960,330,4112,81.16156825,33.14671907,140,16649,81,557,371.0127859,271.9641236,0.038895029,74673,0.73,136.9863014
4/9/1960,593,3584,84.86979642,21.13445292,65,42959,18,437,394.5158583,325.685432,0.038895029,74673,0.83,120.4819277
4/10/1960,415,2260,73.56217733,26.75467988,125,44812,61,714,280.358078,223.2791879,0.038895029,74673,0.8,125
4/11/1960,916,4991,79.23235268,12.03583277,51,10597,85,418,476.7766117,342.4733408,0.038895029,74673,0.72,138.8888889
4/12/1960,569,2923,78.88978073,13.86695455,190,12977,56,458,325.685432,152.7699707,0.038895029,74673,0.47,212.7659574
4/13/1960,939,3393,81.11971476,24.56465353,150,21163,48,138,265.2489601,124.2305256,0.038895029,74673,0.47,212.7659574
4/14/1960,949,1409,89.55956439,19.84750065,81,28759,63,391,401.2310218,177.951834,0.038895029,74673,0.44,227.2727273
4/15/1960,836,1057,86.1494742,33.62175577,129,11785,84,799,496.9221024,362.6188315,0.038895029,74673,0.73,136.9863014
4/16/1960,202,2039,93.42100075,30.70111032,82,45598,75,712,203.1336973,199.7761155,0.038895029,74673,0.98,102.0408163
4/17/1960,928,2816,82.13506616,23.65957617,78,48326,76,680,397.8734401,297.1459869,0.038895029,74673,0.75,133.3333333
4/18/1960,405,3857,82.63075029,30.63962429,144,22002,43,216,303.8611504,184.6669975,0.038895029,74673,0.61,163.9344262
4/19/1960,554,1841,89.17555801,42.81171119,65,28343,68,451,444.8795849,290.4308233,0.038895029,74673,0.65,153.8461538
4/20/1960,904,3169,70.8498636,42.42420369,190,17725,46,456,496.9221024,307.2187322,0.038895029,74673,0.62,161.2903226
4/21/1960,751,3377,73.14701787,21.21354956,155,30698,68,349,355.9036679,282.0368689,0.038895029,74673,0.79,126.5822785
4/22/1960,458,1556,92.39697683,48.39876661,172,41317,63,565,372.6915768,364.2976223,0.038895029,74673,0.98,102.0408163
4/23/1960,351,1081,88.42312599,38.04619371,97,13555,23,575,441.5220031,300.5035687,0.038895029,74673,0.68,147.0588235
4/24/1960,592,4341,70.05164998,48.44795834,50,16178,13,454,228.3155606,226.6367697,0.038895029,74673,0.99,101.010101
4/25/1960,978,4319,75.82301325,11.11668266,174,44862,75,292,493.5645206,206.491279,0.038895029,74673,0.42,238.0952381
4/26/1960,920,4434,80.92675542,12.01750832,96,14795,60,263,213.2064426,68.83042634,0.038895029,74673,0.32,312.5
4/27/1960,701,1020,88.94501195,20.62627881,69,18927,83,460,461.6674938,412.9825581,0.038895029,74673,0.89,112.3595506
4/28/1960,677,1596,92.82463101,15.18854836,188,30885,10,102,443.200794,266.9277509,0.038895029,74673,0.6,166.6666667
4/29/1960,342,3363,84.96387724,32.18999287,58,15986,92,943,372.6915768,347.5097135,0.038895029,74673,0.93,107.5268817
4/30/1960,387,3909,75.63863487,34.0837162,74,43347,86,798,392.8370674,354.224877,0.038895029,74673,0.9,111.1111111
5/1/1960,557,2045,83.51819654,31.74532166,124,14510,50,616,619.6101374,302.9205116,0.022973717,76161,0.49,204.0816327
5/2/1960,672,1065,93.77701737,49.37879045,83,34118,56,464,280.5457011,268.4977262,0.022973717,76161,0.96,104.1666667
5/3/1960,548,4532,83.07464974,34.42485448,55,12443,25,365,411.3522856,309.8050687,0.022973717,76161,0.75,133.3333333
5/4/1960,258,1143,89.53227107,29.09896996,193,22182,28,338,466.4287423,222.0269659,0.022973717,76161,0.48,208.3333333
5/5/1960,861,4878,72.23681654,36.59297008,148,42103,19,494,342.5067148,220.3058266,0.022973717,76161,0.64,156.25
5/6/1960,589,1485,91.74044772,26.0280145,142,12205,52,522,456.1019067,77.45126717,0.022973717,76161,0.17,588.2352941
5/7/1960,762,3255,85.39961014,38.93049643,191,41165,21,364,244.4017764,96.38379915,0.022973717,76161,0.39,256.4102564
5/8/1960,774,4283,80.6824546,40.60740061,141,47860,67,114,364.8815253,316.6896258,0.022973717,76161,0.87,114.9425287
5/9/1960,538,2267,71.29631533,25.1243972,125,23948,77,884,583.4662127,253.0074728,0.022973717,76161,0.43,232.5581395
5/10/1960,263,4835,91.23475635,11.17591622,193,19899,86,579,349.3912719,254.728612,0.022973717,76161,0.73,136.9863014
5/11/1960,440,1605,78.33410552,42.44100385,173,10139,60,919,500.8515277,234.0749408,0.022973717,76161,0.47,212.7659574
5/12/1960,999,4790,92.21418509,21.40247606,77,25435,65,154,249.5651942,227.1903837,0.022973717,76161,0.91,109.8901099
5/13/1960,843,2191,84.96280089,43.23689957,171,15958,56,379,213.4212695,65.40329228,0.022973717,76161,0.31,322.5806452
5/14/1960,462,2656,86.44602993,32.92597512,97,16079,14,620,246.1229157,218.5846874,0.022973717,76161,0.89,112.3595506
5/15/1960,507,3460,70.940746,12.6882767,135,25307,15,294,271.9400047,234.0749408,0.022973717,76161,0.86,116.2790698
5/16/1960,945,4147,84.14593565,43.55193127,50,46196,16,791,335.6221577,304.6416509,0.022973717,76161,0.91,109.8901099
5/17/1960,420,1905,93.28458379,26.44192705,169,43999,98,340,483.640135,435.4482354,0.022973717,76161,0.9,111.1111111
5/18/1960,529,4530,85.60996726,17.89555286,197,28132,21,119,280.5457011,213.4212695,0.022973717,76161,0.76,131.5789474
5/19/1960,731,1069,87.07494795,26.28088539,123,31213,89,958,371.7660824,63.68215301,0.022973717,76161,0.17,588.2352941
5/20/1960,942,3637,76.22160332,43.6798485,174,16751,58,722,506.0149455,290.8725367,0.022973717,76161,0.57,175.4385965
5/21/1960,297,2579,71.9986769,28.49424786,130,29218,89,881,419.957982,356.275829,0.022973717,76161,0.85,117.6470588
5/22/1960,826,3182,71.7218923,17.49382467,52,40970,30,238,366.6026646,247.8440549,0.022973717,76161,0.68,147.0588235
5/23/1960,391,1739,86.83162177,47.01254416,96,44301,22,486,540.4377309,299.4782331,0.022973717,76161,0.55,181.8181818
5/24/1960,140,2393,91.01271673,48.3581394,167,33992,32,956,368.3238039,285.7091189,0.022973717,76161,0.78,128.2051282
5/25/1960,600,1405,84.2613057,24.73600671,69,24867,27,406,499.1303884,406.1888678,0.022973717,76161,0.81,123.4567901
5/26/1960,321,1412,78.90100689,28.04355635,105,40652,35,555,492.2458314,380.3717788,0.022973717,76161,0.77,129.8701299
5/27/1960,421,2741,86.87312382,10.45695588,74,27486,96,722,383.8140573,209.978991,0.022973717,76161,0.55,181.8181818
5/28/1960,518,3928,93.23703299,36.34590511,80,17826,89,780,564.5336807,191.046459,0.022973717,76161,0.34,294.1176471
5/29/1960,653,1285,76.32234957,42.52684061,146,30363,85,424,364.8815253,332.1798792,0.022973717,76161,0.91,109.8901099
5/30/1960,319,3123,74.71940041,40.06417211,111,49918,61,865,253.0074728,185.8830412,0.022973717,76161,0.73,136.9863014
5/31/1960,229,4950,92.88128842,49.55681371,143,29828,70,839,433.7270962,172.113927,0.022973717,76161,0.4,250
6/1/1960,385,4455,90.67734857,47.29779202,157,44753,10,519,414.1081537,251.9289148,0.025073083,61505,0.61,163.9344262
6/2/1960,722,1530,79.03706141,17.79774061,136,42225,92,121,540.0726111,404.6608194,0.025073083,61505,0.75,133.3333333
6/3/1960,475,1469,72.63132952,46.31867151,176,49842,13,931,450.3229352,409.3844866,0.025073083,61505,0.91,109.8901099
6/4/1960,363,4473,87.2518402,49.36780282,131,48842,21,600,297.5910306,237.7579133,0.025073083,61505,0.8,125
6/5/1960,342,1356,73.36989287,43.03252431,82,47360,98,437,473.941271,94.47334305,0.025073083,61505,0.2,500
6/6/1960,175,2451,80.93505642,47.21661649,153,37755,90,502,587.3092826,255.0780262,0.025073083,61505,0.43,232.5581395
6/7/1960,378,1556,71.90059173,21.68163155,147,31360,60,298,297.5910306,155.881016,0.025073083,61505,0.52,192.3076923
6/8/1960,715,4984,94.9071851,38.93802577,59,19064,80,201,614.0767298,333.8058121,0.025073083,61505,0.54,185.1851852
6/9/1960,605,4842,83.65306798,32.37857769,85,26881,40,551,329.082145,209.4159104,0.025073083,61505,0.64,156.25
6/10/1960,608,1523,88.3129443,30.48128183,162,16650,57,572,377.8933722,209.4159104,0.025073083,61505,0.55,181.8181818
6/11/1960,228,4425,70.77145585,10.65537494,61,48842,21,395,344.8277021,80.30234159,0.025073083,61505,0.23,434.7826087
6/12/1960,840,1130,76.9727232,29.9013728,119,39144,84,891,240.9070248,237.7579133,0.025073083,61505,0.99,101.010101
6/13/1960,982,2025,83.49475154,32.03743044,115,13032,77,101,382.6170394,239.3324691,0.025073083,61505,0.63,158.7301587
6/14/1960,691,4438,74.48056993,18.08057527,168,39353,94,794,433.0028223,247.2052477,0.025073083,61505,0.57,175.4385965
6/15/1960,659,2619,92.19514564,37.37124909,143,33833,39,599,215.7141333,212.5650219,0.025073083,61505,0.99,101.010101
6/16/1960,117,2412,85.29635012,15.15225109,96,19743,21,750,431.4282666,75.57867444,0.025073083,61505,0.18,555.5555556
6/17/1960,652,3913,90.28099649,44.5021507,94,45355,15,248,313.3365878,270.8235834,0.025073083,61505,0.86,116.2790698
6/18/1960,629,4181,88.62476765,10.70458279,95,18269,61,964,373.1697051,209.4159104,0.025073083,61505,0.56,178.5714286
6/19/1960,746,2489,88.29199807,22.32309779,77,40221,18,244,527.4761654,310.1874764,0.025073083,61505,0.59,169.4915254
6/20/1960,587,4373,79.8738339,25.84958,186,26245,59,728,267.674472,261.3762491,0.025073083,61505,0.98,102.0408163
6/21/1960,262,2507,76.19137308,35.35937699,172,48779,22,390,310.1874764,140.1354589,0.025073083,61505,0.45,222.2222222
6/22/1960,546,1855,94.29074892,43.6587372,133,44748,98,674,590.4583941,456.6211581,0.025073083,61505,0.77,129.8701299
6/23/1960,855,3349,89.66755512,36.73571448,75,22186,93,289,588.8838384,203.1176876,0.025073083,61505,0.34,294.1176471
6/24/1960,170,2467,85.98458926,24.57570602,156,40593,79,428,414.1081537,336.9549236,0.025073083,61505,0.81,123.4567901
6/25/1960,625,2708,85.87615321,47.3262044,127,18323,30,428,445.5992681,266.0999163,0.025073083,61505,0.6,166.6666667
6/26/1960,343,1076,70.18466668,37.68141454,106,45831,96,577,363.7223708,195.244909,0.025073083,61505,0.54,185.1851852
6/27/1960,268,3708,75.67935066,40.21864695,136,49145,32,526,557.392724,456.6211581,0.025073083,61505,0.82,121.9512195
6/28/1960,843,4646,84.03335589,45.41249349,88,30233,69,280,505.4323853,250.3543591,0.025073083,61505,0.5,200
6/29/1960,460,4340,84.9794528,47.29367221,163,40367,76,976,355.8495922,229.8851348,0.025073083,61505,0.65,153.8461538
6/30/1960,220,2434,70.93137932,46.14292853,69,43603,11,475,384.1915951,318.0602549,0.025073083,61505,0.83,120.4819277
7/1/1960,224,1954,72.24188826,25.97848799,85,11925,77,150,376.5215269,132.4797965,0.022248339,78282,0.35,285.7142857
7/2/1960,222,2023,77.49564933,44.26114231,185,29680,51,813,765.2451403,87.15776085,0.022248339,78282,0.11,909.0909091
7/3/1960,947,2739,77.50506125,27.16911827,181,11555,21,229,686.8031555,514.230789,0.022248339,78282,0.75,133.3333333
7/4/1960,996,1275,82.19879326,30.43299424,117,43992,96,880,491.5697712,320.7405599,0.022248339,78282,0.65,153.8461538
7/5/1960,705,2657,85.21454451,25.78946583,110,37741,99,458,423.5867177,378.2646821,0.022248339,78282,0.89,112.3595506
7/6/1960,580,4924,79.85922836,38.74196587,200,22926,48,437,502.0287025,413.1277864,0.022248339,78282,0.82,121.9512195
7/7/1960,508,3254,74.73775203,36.40820575,80,23247,97,483,362.5762851,233.5827991,0.022248339,78282,0.64,156.25
7/8/1960,391,4485,80.85523392,12.99223896,73,10713,51,649,299.8226973,216.1512469,0.022248339,78282,0.72,138.8888889
7/9/1960,286,3704,77.24819079,27.04064316,79,14894,98,435,692.0326211,475.8813742,0.022248339,78282,0.69,144.9275362
7/10/1960,829,2295,75.88168565,34.53832347,141,42107,12,715,357.3468195,289.363766,0.022248339,78282,0.81,123.4567901
7/11/1960,617,1912,86.58612155,37.232957,154,43563,22,829,611.8474812,81.9282952,0.022248339,78282,0.13,769.2307692
7/12/1960,265,1693,81.01515143,32.45653848,138,14646,17,992,590.9296186,245.7848856,0.022248339,78282,0.42,238.0952381
7/13/1960,209,4742,84.61624141,45.96092106,96,22438,58,156,775.7040716,502.0287025,0.022248339,78282,0.65,153.8461538
7/14/1960,1000,2880,75.09460989,36.40287841,74,41879,96,900,407.8983208,128.9934861,0.022248339,78282,0.32,312.5
7/15/1960,950,1405,81.45588978,18.81527789,95,20924,66,754,378.2646821,308.5384734,0.022248339,78282,0.82,121.9512195
7/16/1960,973,4071,85.01638139,20.90827251,130,20968,42,463,399.1825447,169.086056,0.022248339,78282,0.42,238.0952381
7/17/1960,606,3816,89.66480084,23.53022005,103,42337,53,693,618.820102,352.1173538,0.022248339,78282,0.57,175.4385965
7/18/1960,344,1882,88.57864765,11.63763714,57,21756,93,909,498.5423921,245.7848856,0.022248339,78282,0.49,204.0816327
7/19/1960,989,4889,84.9463765,17.29453058,95,44060,24,451,637.9948094,193.4902291,0.022248339,78282,0.3,333.3333333
7/20/1960,904,3097,75.82463027,33.21298757,186,44380,33,458,721.6662598,334.6858017,0.022248339,78282,0.46,217.3913043
7/21/1960,862,3945,83.80041554,36.65111578,105,16069,97,255,465.4224429,310.2816286,0.022248339,78282,0.67,149.2537313
7/22/1960,431,3466,88.79976695,37.82008332,107,14525,14,232,587.4433081,498.5423921,0.022248339,78282,0.85,117.6470588
7/23/1960,365,4949,71.02951643,19.16165529,155,16814,24,980,556.0665142,128.9934861,0.022248339,78282,0.23,434.7826087
7/24/1960,748,3394,70.47887575,41.25968192,51,45875,65,131,622.3064125,420.1004073,0.022248339,78282,0.68,147.0588235
7/25/1960,274,1263,85.69611477,38.9047642,187,41551,20,180,454.9635116,325.9700256,0.022248339,78282,0.72,138.8888889
7/26/1960,397,4777,76.82136067,22.34050138,113,38708,75,923,277.1616795,95.87353693,0.022248339,78282,0.35,285.7142857
7/27/1960,920,3923,81.9307975,15.07797849,60,32212,29,450,481.1108399,392.2099238,0.022248339,78282,0.82,121.9512195
7/28/1960,494,4933,79.72253811,48.69336734,163,34723,30,582,325.9700256,135.9661069,0.022248339,78282,0.42,238.0952381
7/29/1960,669,4452,71.14003288,39.77463164,126,38988,89,530,460.1929773,439.2751147,0.022248339,78282,0.95,105.2631579
7/30/1960,630,2773,81.31487684,30.70784866,107,19038,92,173,639.7379646,341.6584225,0.022248339,78282,0.53,188.6792453
7/31/1960,292,4421,79.15922557,26.23269881,132,38559,14,442,590.9296186,310.2816286,0.022248339,78282,0.53,188.6792453
8/1/1960,587,3299,83.23543411,30.74705603,196,38530,46,847,580.563898,111.5207488,0.049131172,72475,0.19,526.3157895
8/2/1960,1000,4749,90.94837495,49.30480685,62,11792,84,352,516.6034686,113.1607598,0.049131172,72475,0.22,454.5454545
