Month of the Year,Raw Material,Packaging Material,Energy Consumption,Waste in Transportation,Inflation,Disposable Income,Production,Sold
6.0,189143.0,37296.0,399598.0,33300.0,0.02,2613.0,1331992.0,927839.0
7.0,258249.0,50922.0,545596.0,45466.0,0.04,4797.0,1818654.0,614623.0
8.0,314051.0,61926.0,663489.0,55291.0,0.02,4809.0,2211630.0,1737195.0
9.0,181165.0,35723.0,382743.0,31895.0,0.01,2185.0,1275810.0,892712.0
10.0,350925.0,69197.0,741392.0,61783.0,0.03,4409.0,2471305.0,1120474.0
11.0,324049.0,63897.0,684610.0,57051.0,0.03,3741.0,2282033.0,554837.0
12.0,183130.0,36110.0,386894.0,32241.0,0.01,3921.0,1289647.0,1289647.0
1.0,300144.0,59183.0,634107.0,52842.0,0.05,4422.0,2113690.0,88318.0
2.0,234970.0,46332.0,496415.0,41368.0,0.02,4657.0,1654717.0,1346379.0
3.0,419410.0,82701.0,886078.0,73840.0,0.04,4911.0,2953595.0,677389.0
4.0,331067.0,65281.0,699437.0,58286.0,0.03,2160.0,2331457.0,609966.0
5.0,166157.0,32763.0,351037.0,29253.0,0.05,2991.0,1170123.0,70967.0
6.0,173866.0,34283.0,367322.0,30610.0,0.01,4092.0,1224407.0,1189943.0
7.0,261808.0,51624.0,553114.0,46093.0,0.02,2969.0,1843715.0,1411758.0
8.0,382965.0,75514.0,809082.0,67424.0,0.05,3437.0,2696940.0,135672.0
9.0,320945.0,63285.0,678054.0,56504.0,0.05,2672.0,2260179.0,80186.0
10.0,211358.0,41676.0,446531.0,37211.0,0.02,2380.0,1488436.0,734094.0
11.0,305606.0,60260.0,645646.0,53804.0,0.04,3110.0,2152152.0,370455.0
12.0,165745.0,32682.0,350166.0,29180.0,0.04,4105.0,1167220.0,300536.0
1.0,154699.0,30504.0,326828.0,27236.0,0.01,4692.0,1089428.0,1060407.0
2.0,395305.0,77948.0,835152.0,69596.0,0.01,4930.0,2783840.0,1364441.0
3.0,169915.0,33504.0,358976.0,29915.0,0.05,2519.0,1196587.0,65003.0
4.0,377113.0,74360.0,796717.0,66393.0,0.04,4116.0,2655723.0,693995.0
5.0,256461.0,50570.0,541818.0,45152.0,0.04,4059.0,1806060.0,450071.0
6.0,422177.0,83246.0,891923.0,74327.0,0.05,3276.0,2973076.0,175288.0
7.0,202128.0,39856.0,427031.0,35586.0,0.02,2932.0,1423438.0,1131760.0
8.0,422511.0,83312.0,892629.0,74386.0,0.03,3413.0,2975429.0,1701855.0
9.0,324308.0,63948.0,685158.0,57096.0,0.02,3516.0,2283860.0,780799.0
10.0,265430.0,52338.0,560768.0,46731.0,0.02,3050.0,1869228.0,1281767.0
11.0,335117.0,66079.0,707994.0,58999.0,0.02,2322.0,2359979.0,1388671.0
12.0,157926.0,31140.0,333646.0,27804.0,0.02,4477.0,1112155.0,992439.0
1.0,238354.0,46999.0,503564.0,41964.0,0.03,2898.0,1678548.0,529931.0
2.0,179564.0,35407.0,379361.0,31613.0,0.05,2346.0,1264536.0,67946.0
3.0,340648.0,67170.0,719679.0,59973.0,0.01,3656.0,2398930.0,1634483.0
4.0,199675.0,39373.0,421850.0,35154.0,0.03,4526.0,1406165.0,676035.0
5.0,380019.0,74933.0,802856.0,66905.0,0.05,3556.0,2676188.0,138030.0
6.0,334247.0,65908.0,706156.0,58846.0,0.03,4838.0,2353852.0,1272258.0
7.0,380294.0,74987.0,803437.0,66953.0,0.04,3315.0,2678124.0,599475.0
8.0,195005.0,38452.0,411982.0,34332.0,0.04,3585.0,1373274.0,346020.0
9.0,374619.0,73869.0,791449.0,65954.0,0.02,3619.0,2638164.0,1126283.0
10.0,312296.0,61580.0,659781.0,54982.0,0.02,3942.0,2199270.0,933288.0
11.0,415865.0,82001.0,878587.0,73216.0,0.03,2254.0,2928624.0,723799.0
12.0,337074.0,66465.0,712128.0,59344.0,0.05,3491.0,2373760.0,140818.0
1.0,373933.0,73733.0,789999.0,65833.0,0.02,4047.0,2633330.0,1995513.0
2.0,336027.0,66259.0,709916.0,59160.0,0.04,3878.0,2366385.0,541727.0
3.0,395133.0,77914.0,834789.0,69566.0,0.02,3338.0,2782629.0,1582795.0
4.0,300046.0,59164.0,633901.0,52825.0,0.03,3941.0,2113003.0,636818.0
5.0,180713.0,35634.0,381789.0,31816.0,0.01,4914.0,1272629.0,1119241.0
6.0,261782.0,51619.0,553061.0,46088.0,0.02,2826.0,1843537.0,1387455.0
7.0,386687.0,76248.0,816944.0,68079.0,0.03,2941.0,2723147.0,1063740.0
8.0,371206.0,73196.0,784239.0,65353.0,0.01,4140.0,2614130.0,2614130.0
9.0,216927.0,42774.0,458296.0,38191.0,0.04,3005.0,1527652.0,229605.0
10.0,304134.0,59970.0,642537.0,53545.0,0.04,4673.0,2141789.0,645196.0
11.0,220762.0,43530.0,466398.0,38866.0,0.02,2106.0,1554660.0,735702.0
12.0,219553.0,43292.0,463844.0,38654.0,0.04,2646.0,1546148.0,331233.0
1.0,214379.0,42272.0,452913.0,37743.0,0.05,4113.0,1509710.0,49061.0
2.0,264971.0,52248.0,559797.0,46650.0,0.01,4260.0,1865990.0,959269.0
3.0,379542.0,74839.0,801850.0,66821.0,0.05,4848.0,2672834.0,131807.0
4.0,390119.0,76925.0,824195.0,68683.0,0.02,3913.0,2747316.0,2044082.0
5.0,183090.0,36102.0,386810.0,32234.0,0.02,2535.0,1289368.0,936163.0
6.0,388735.0,76652.0,821270.0,68439.0,0.04,3876.0,2737568.0,861926.0
7.0,278365.0,54889.0,588094.0,49008.0,0.02,4097.0,1960315.0,1706492.0
8.0,378277.0,74590.0,799178.0,66598.0,0.02,2764.0,2663925.0,1602688.0
9.0,166301.0,32792.0,351339.0,29278.0,0.04,4091.0,1171131.0,173489.0
10.0,304379.0,60018.0,643054.0,53588.0,0.02,2034.0,2143512.0,1040959.0
11.0,220919.0,43562.0,466731.0,38894.0,0.02,2093.0,1555771.0,801797.0
12.0,220948.0,43567.0,466791.0,38899.0,0.03,4145.0,1555970.0,833355.0
1.0,174137.0,34337.0,367896.0,30658.0,0.04,2934.0,1226320.0,182771.0
2.0,386011.0,76115.0,815516.0,67960.0,0.02,3163.0,2718385.0,1056539.0
3.0,179171.0,35329.0,378530.0,31544.0,0.02,3792.0,1261767.0,807489.0
4.0,181388.0,35767.0,383213.0,31934.0,0.01,2128.0,1277378.0,968379.0
5.0,368961.0,72753.0,779495.0,64958.0,0.03,3928.0,2598317.0,1280405.0
6.0,240550.0,47432.0,508205.0,42350.0,0.03,3835.0,1694017.0,850103.0
7.0,296758.0,58516.0,626953.0,52246.0,0.03,3103.0,2089844.0,993339.0
8.0,209528.0,41315.0,442665.0,36889.0,0.04,2249.0,1475550.0,415618.0
9.0,240549.0,47432.0,508203.0,42350.0,0.03,4196.0,1694010.0,512448.0
10.0,388523.0,76610.0,820824.0,68402.0,0.03,2963.0,2736080.0,1082231.0
11.0,250885.0,49470.0,530039.0,44170.0,0.05,4507.0,1766798.0,63892.0
12.0,343225.0,67678.0,725124.0,60427.0,0.05,2527.0,2417080.0,116716.0
1.0,365008.0,71973.0,771144.0,64262.0,0.01,4332.0,2570481.0,1542519.0
2.0,389363.0,76776.0,822597.0,68550.0,0.03,2484.0,2741991.0,858200.0
3.0,324394.0,63965.0,685340.0,57112.0,0.05,4870.0,2284465.0,145582.0
4.0,354842.0,69969.0,749666.0,62472.0,0.03,4290.0,2498885.0,1166464.0
5.0,416160.0,82060.0,879210.0,73268.0,0.03,4687.0,2930701.0,1776677.0
6.0,360462.0,71077.0,761539.0,63462.0,0.05,2521.0,2538462.0,111563.0
7.0,332101.0,65485.0,701622.0,58469.0,0.05,2573.0,2338741.0,119936.0
8.0,153439.0,30256.0,324167.0,27014.0,0.04,3740.0,1080558.0,284831.0
9.0,267830.0,52812.0,565838.0,47153.0,0.01,4210.0,1886128.0,1326052.0
10.0,296660.0,58496.0,626746.0,52229.0,0.03,2936.0,2089154.0,843063.0
11.0,182554.0,35997.0,385678.0,32140.0,0.02,4943.0,1285594.0,644930.0
12.0,165465.0,32627.0,349574.0,29131.0,0.02,4671.0,1165248.0,1025649.0
1.0,382358.0,75395.0,807799.0,67317.0,0.01,2327.0,2692664.0,1976883.0
2.0,406809.0,80216.0,859455.0,71621.0,0.02,4467.0,2864850.0,1706541.0
3.0,191867.0,37833.0,405353.0,33779.0,0.05,4387.0,1351177.0,40602.0
4.0,162985.0,32138.0,344335.0,28695.0,0.02,3224.0,1147782.0,544575.0
5.0,267344.0,52716.0,564811.0,47068.0,0.02,2172.0,1882702.0,1373498.0
6.0,424851.0,83773.0,897573.0,74798.0,0.03,3556.0,2991910.0,1332689.0
7.0,200796.0,39593.0,424216.0,35351.0,0.03,2275.0,1414053.0,586482.0
8.0,215990.0,42590.0,456317.0,38026.0,0.02,4360.0,1521057.0,1126845.0
9.0,425299.0,83862.0,898519.0,74877.0,0.02,2558.0,2995063.0,1498982.0
10.0,178887.0,35273.0,377930.0,31494.0,0.05,2434.0,1259767.0,46575.0
11.0,159108.0,31373.0,336144.0,28012.0,0.01,3541.0,1120480.0,571010.0
12.0,385902.0,76093.0,815285.0,67940.0,0.04,4719.0,2717617.0,746846.0
1.0,209941.0,41397.0,443538.0,36962.0,0.01,4229.0,1478461.0,1352115.0
2.0,184251.0,36331.0,389262.0,32438.0,0.01,3613.0,1297539.0,943925.0
3.0,349183.0,68853.0,737710.0,61476.0,0.04,2301.0,2459035.0,494847.0
4.0,272245.0,53682.0,575166.0,47931.0,0.05,2926.0,1917221.0,106613.0
5.0,211202.0,41645.0,446202.0,37183.0,0.05,2627.0,1487339.0,65942.0
6.0,287469.0,56684.0,607329.0,50611.0,0.05,3578.0,2024429.0,100046.0
7.0,285495.0,56295.0,603159.0,50263.0,0.01,4293.0,2010529.0,2010529.0
8.0,267488.0,52744.0,565115.0,47093.0,0.03,3184.0,1883717.0,758252.0
9.0,288935.0,56973.0,610426.0,50869.0,0.02,3798.0,2034754.0,892822.0
10.0,311212.0,61366.0,657489.0,54791.0,0.03,4009.0,2191631.0,1073929.0
11.0,174429.0,34394.0,368512.0,30709.0,0.05,4539.0,1228374.0,39703.0
12.0,292713.0,57718.0,618408.0,51534.0,0.04,3608.0,2061361.0,516670.0
1.0,324070.0,63901.0,684655.0,57055.0,0.02,2389.0,2282184.0,1178934.0
2.0,281624.0,55531.0,594980.0,49582.0,0.01,3432.0,1983265.0,1797576.0
3.0,152699.0,30110.0,322604.0,26884.0,0.03,4166.0,1075346.0,484831.0
4.0,336776.0,66406.0,711498.0,59291.0,0.03,4858.0,2371659.0,1267745.0
5.0,216997.0,42788.0,458445.0,38204.0,0.03,2816.0,1528151.0,607383.0
6.0,144187.0,28431.0,304620.0,25385.0,0.02,2506.0,1015401.0,672065.0
7.0,361547.0,71291.0,763832.0,63653.0,0.02,3986.0,2546107.0,2049635.0
8.0,285433.0,56283.0,603028.0,50252.0,0.04,2257.0,2010093.0,514344.0
9.0,225992.0,44562.0,477448.0,39787.0,0.03,2078.0,1591492.0,690080.0
10.0,289040.0,56994.0,610648.0,50887.0,0.05,2784.0,2035495.0,104467.0
11.0,177076.0,34916.0,374104.0,31175.0,0.01,3307.0,1247013.0,777377.0
12.0,143838.0,28362.0,303884.0,25324.0,0.01,4248.0,1012945.0,1012945.0
1.0,340055.0,67053.0,718425.0,59869.0,0.04,2556.0,2394751.0,628230.0
2.0,256748.0,50626.0,542425.0,45202.0,0.02,4392.0,1808084.0,1423713.0
3.0,208562.0,41125.0,440624.0,36719.0,0.02,2678.0,1468746.0,723213.0
4.0,257664.0,50807.0,544361.0,45363.0,0.04,3248.0,1814537.0,412961.0
5.0,269685.0,53177.0,569757.0,47480.0,0.03,4019.0,1899191.0,1075182.0
6.0,168587.0,33243.0,356170.0,29681.0,0.01,2890.0,1187233.0,895949.0
7.0,423868.0,83580.0,895496.0,74625.0,0.02,3628.0,2984988.0,2407662.0
8.0,292975.0,57770.0,618962.0,51580.0,0.04,3399.0,2063206.0,482591.0
9.0,385023.0,75920.0,813430.0,67786.0,0.03,4994.0,2711433.0,1527263.0
10.0,344442.0,67918.0,727694.0,60641.0,0.02,4078.0,2425648.0,1351899.0
11.0,204269.0,40278.0,431554.0,35963.0,0.03,4298.0,1438515.0,579877.0
12.0,142386.0,28076.0,300816.0,25068.0,0.05,3816.0,1002719.0,62227.0
1.0,385632.0,76040.0,814714.0,67893.0,0.03,2970.0,2715715.0,716355.0
2.0,419784.0,82774.0,886868.0,73906.0,0.03,4037.0,2956227.0,1322205.0
3.0,424603.0,83725.0,897049.0,74754.0,0.03,3796.0,2990162.0,1117696.0
4.0,171265.0,33771.0,361828.0,30152.0,0.02,3939.0,1206093.0,604793.0
5.0,250648.0,49423.0,529537.0,44128.0,0.03,4139.0,1765124.0,993521.0
6.0,384444.0,75806.0,812205.0,67684.0,0.02,2735.0,2707350.0,1859303.0
7.0,309282.0,60985.0,653412.0,54451.0,0.01,3493.0,2178040.0,1941327.0
8.0,308598.0,60850.0,651967.0,54331.0,0.04,4575.0,2173223.0,551051.0
9.0,343907.0,67813.0,726563.0,60547.0,0.04,4607.0,2421878.0,370844.0
10.0,313423.0,61802.0,662161.0,55180.0,0.02,4085.0,2207203.0,793182.0
11.0,293033.0,57781.0,619083.0,51590.0,0.03,3776.0,2063610.0,998456.0
12.0,365758.0,72121.0,772729.0,64394.0,0.02,4384.0,2575763.0,1981284.0
1.0,193512.0,38157.0,408829.0,34069.0,0.04,3389.0,1362763.0,364765.0
2.0,305521.0,60244.0,645468.0,53789.0,0.02,4995.0,2151559.0,1544120.0
3.0,322386.0,63569.0,681098.0,56758.0,0.03,4824.0,2270325.0,626274.0
4.0,349329.0,68882.0,738020.0,61502.0,0.02,4041.0,2460066.0,1369934.0
5.0,150166.0,29610.0,317253.0,26438.0,0.01,2416.0,1057509.0,995970.0
6.0,388963.0,76697.0,821753.0,68479.0,0.03,2608.0,2739178.0,1328723.0
7.0,287890.0,56767.0,608218.0,50685.0,0.03,4460.0,2027394.0,919470.0
8.0,296580.0,58480.0,626577.0,52215.0,0.01,2087.0,2088589.0,1550510.0
9.0,142064.0,28013.0,300135.0,25011.0,0.04,3830.0,1000449.0,139812.0
10.0,241892.0,47697.0,511040.0,42587.0,0.02,2404.0,1703465.0,1165235.0
11.0,396070.0,78098.0,836767.0,69731.0,0.03,4279.0,2789224.0,1069920.0
12.0,378633.0,74660.0,799929.0,66661.0,0.04,3688.0,2666431.0,776709.0
1.0,199282.0,39295.0,421018.0,35085.0,0.05,2289.0,1403394.0,43276.0
2.0,301624.0,59475.0,637233.0,53103.0,0.05,2093.0,2124111.0,94676.0
3.0,175601.0,34626.0,370989.0,30916.0,0.03,4208.0,1236630.0,378390.0
4.0,246738.0,48653.0,521278.0,43440.0,0.04,4810.0,1737592.0,265235.0
5.0,420778.0,82970.0,888967.0,74081.0,0.02,4101.0,2963223.0,2009208.0
6.0,351952.0,69399.0,743560.0,61963.0,0.01,4786.0,2478532.0,2237565.0
7.0,223209.0,44013.0,471569.0,39297.0,0.03,3083.0,1571897.0,629556.0
8.0,409665.0,80779.0,865489.0,72124.0,0.01,2146.0,2884962.0,2585073.0
9.0,215401.0,42473.0,455072.0,37923.0,0.03,4226.0,1516905.0,649159.0
10.0,343496.0,67732.0,725696.0,60475.0,0.04,4655.0,2418985.0,470121.0
11.0,170043.0,33530.0,359246.0,29937.0,0.03,2145.0,1197487.0,429586.0
12.0,210953.0,41596.0,445676.0,37140.0,0.02,3795.0,1485587.0,1045213.0
1.0,216900.0,42769.0,458240.0,38187.0,0.01,4387.0,1527465.0,816402.0
2.0,224998.0,44366.0,475347.0,39612.0,0.03,3243.0,1584491.0,734932.0
3.0,404190.0,79699.0,853922.0,71160.0,0.02,4439.0,2846408.0,1665406.0
4.0,401116.0,79093.0,847429.0,70619.0,0.03,3647.0,2824762.0,1375809.0
5.0,167171.0,32963.0,353179.0,29432.0,0.04,4303.0,1177263.0,382617.0
6.0,233973.0,46135.0,494308.0,41192.0,0.05,2158.0,1647694.0,86211.0
7.0,273845.0,53998.0,578546.0,48212.0,0.04,2395.0,1928488.0,530555.0
8.0,370598.0,73076.0,782954.0,65246.0,0.04,3382.0,2609848.0,828060.0
9.0,224998.0,44366.0,475348.0,39612.0,0.04,4499.0,1584493.0,388535.0
10.0,383294.0,75579.0,809776.0,67481.0,0.02,3813.0,2699255.0,1337890.0
11.0,229179.0,45190.0,484182.0,40348.0,0.03,3752.0,1613939.0,670638.0
12.0,332423.0,65548.0,702303.0,58525.0,0.04,4719.0,2341010.0,708896.0
1.0,199063.0,39252.0,420556.0,35046.0,0.04,2875.0,1401852.0,183071.0
2.0,272465.0,53725.0,575630.0,47969.0,0.02,3243.0,1918765.0,842437.0
3.0,343222.0,67677.0,725116.0,60426.0,0.03,3822.0,2417053.0,1045137.0
4.0,336437.0,66340.0,710782.0,59232.0,0.04,3454.0,2369274.0,652535.0
5.0,224524.0,44272.0,474347.0,39529.0,0.03,2502.0,1581158.0,661498.0
6.0,301228.0,59397.0,636397.0,53033.0,0.05,3206.0,2121322.0,99850.0
7.0,143309.0,28258.0,302766.0,25230.0,0.01,4184.0,1009219.0,952182.0
8.0,271995.0,53633.0,574637.0,47886.0,0.04,4191.0,1915457.0,613314.0
9.0,225372.0,44440.0,476138.0,39678.0,0.05,2576.0,1587126.0,85358.0
10.0,335463.0,66148.0,708726.0,59060.0,0.02,2268.0,2362419.0,905958.0
11.0,425677.0,83936.0,899318.0,74943.0,0.02,2742.0,2997728.0,1641081.0
12.0,294351.0,58041.0,621868.0,51822.0,0.02,2091.0,2072894.0,1385605.0
1.0,420103.0,82837.0,887542.0,73962.0,0.03,4772.0,2958473.0,1208059.0
2.0,350668.0,69146.0,740848.0,61737.0,0.02,4407.0,2469495.0,1243274.0
3.0,271429.0,53521.0,573442.0,47787.0,0.04,4211.0,1911475.0,326476.0
4.0,244214.0,48155.0,515946.0,42995.0,0.02,4709.0,1719819.0,804476.0
5.0,263615.0,51980.0,556934.0,46411.0,0.03,4326.0,1856446.0,1098095.0
6.0,419150.0,82649.0,885529.0,73794.0,0.03,2058.0,2951762.0,1370761.0
7.0,363104.0,71598.0,767120.0,63927.0,0.02,2797.0,2557068.0,1432964.0
8.0,421316.0,83076.0,890104.0,74175.0,0.05,3102.0,2967013.0,157514.0
9.0,275668.0,54357.0,582397.0,48533.0,0.02,2743.0,1941324.0,951395.0
10.0,302601.0,59668.0,639298.0,53275.0,0.02,4206.0,2130994.0,1213024.0
11.0,285284.0,56253.0,602712.0,50226.0,0.01,2382.0,2009040.0,1799803.0
12.0,298461.0,58851.0,630551.0,52546.0,0.03,2275.0,2101836.0,1018838.0
1.0,374669.0,73878.0,791555.0,65963.0,0.03,4624.0,2638517.0,779496.0
2.0,258854.0,51042.0,546874.0,45573.0,0.02,2700.0,1822912.0,1240914.0
3.0,296955.0,58555.0,627370.0,52281.0,0.04,3597.0,2091234.0,451530.0
4.0,214161.0,42229.0,452453.0,37704.0,0.05,2962.0,1508176.0,56888.0
5.0,362314.0,71442.0,765451.0,63788.0,0.04,4809.0,2551504.0,750720.0
6.0,163164.0,32173.0,344713.0,28726.0,0.05,3985.0,1149042.0,56997.0
7.0,407391.0,80331.0,860686.0,71724.0,0.01,2839.0,2868954.0,2245000.0
8.0,317274.0,62561.0,670296.0,55858.0,0.04,2571.0,2234321.0,511213.0
9.0,227040.0,44768.0,479662.0,39972.0,0.03,3358.0,1598872.0,771040.0
10.0,269977.0,53235.0,570375.0,47531.0,0.04,4657.0,1901249.0,475358.0
11.0,304247.0,59992.0,642775.0,53565.0,0.02,3134.0,2142582.0,1412148.0
12.0,211039.0,41613.0,445857.0,37155.0,0.03,3608.0,1486190.0,810598.0
1.0,382637.0,75450.0,808388.0,67366.0,0.02,3023.0,2694628.0,923036.0
